;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
63;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
64;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
65;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12
66;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64
67;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76
68;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83;-83
69;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87
70;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109
71;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126
72;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129;-129
73;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126;-126
74;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134
75;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128;-128
76;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131;-131
77;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120;-120
