;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
57;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479;479
58;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459;459
59;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436
60;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375;375
61;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307;307
62;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265
63;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170
64;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112
65;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
66;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
67;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
68;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30
69;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91;-91
70;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144;-144
71;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134;-134
72;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123;-123
73;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148;-148
74;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159;-159
75;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179;-179
76;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171;-171
77;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192;-192
78;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212;-212
79;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225;-225
80;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238;-238
81;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237;-237
82;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233;-233
83;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218;-218
84;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
85;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187;-187
86;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174;-174
