;TauxMalSP;TauxMalTot;TauxAGFF tranche 1;TauxAGFF tranche 2;TauxAssedic;TauxCSGSal;TauxCSGRet;SeuilExoCSG
2053;0;0.0075;0.008;0.009;0.024;0.0776;0.068;21184
2054;0;0.0075;0.008;0.009;0.024;0.0776;0.068;21566
2055;0;0.0075;0.008;0.009;0.024;0.0776;0.068;21954
2056;0;0.0075;0.008;0.009;0.024;0.0776;0.068;22349
2057;0;0.0075;0.008;0.009;0.024;0.0776;0.068;22751
2058;0;0.0075;0.008;0.009;0.024;0.0776;0.068;23161
2059;0;0.0075;0.008;0.009;0.024;0.0776;0.068;23578
2060;0;0.0075;0.008;0.009;0.024;0.0776;0.068;24002
2061;0;0.0075;0.008;0.009;0.024;0.0776;0.068;24434
2062;0;0.0075;0.008;0.009;0.024;0.0776;0.068;24874
2063;0;0.0075;0.008;0.009;0.024;0.0776;0.068;25322
2064;0;0.0075;0.008;0.009;0.024;0.0776;0.068;25778
2065;0;0.0075;0.008;0.009;0.024;0.0776;0.068;26242
2066;0;0.0075;0.008;0.009;0.024;0.0776;0.068;26714
2067;0;0.0075;0.008;0.009;0.024;0.0776;0.068;27195
2068;0;0.0075;0.008;0.009;0.024;0.0776;0.068;27684
2069;0;0.0075;0.008;0.009;0.024;0.0776;0.068;28183
2070;0;0.0075;0.008;0.009;0.024;0.0776;0.068;28690
2071;0;0.0075;0.008;0.009;0.024;0.0776;0.068;29206
2072;0;0.0075;0.008;0.009;0.024;0.0776;0.068;29732
2073;0;0.0075;0.008;0.009;0.024;0.0776;0.068;30267
2074;0;0.0075;0.008;0.009;0.024;0.0776;0.068;30812
2075;0;0.0075;0.008;0.009;0.024;0.0776;0.068;31367
2076;0;0.0075;0.008;0.009;0.024;0.0776;0.068;31931
2077;0;0.0075;0.008;0.009;0.024;0.0776;0.068;32506
2078;0;0.0075;0.008;0.009;0.024;0.0776;0.068;33091
2079;0;0.0075;0.008;0.009;0.024;0.0776;0.068;33687
2080;0;0.0075;0.008;0.009;0.024;0.0776;0.068;34293
2081;0;0.0075;0.008;0.009;0.024;0.0776;0.068;34910
2082;0;0.0075;0.008;0.009;0.024;0.0776;0.068;35539
2083;0;0.0075;0.008;0.009;0.024;0.0776;0.068;36178
2084;0;0.0075;0.008;0.009;0.024;0.0776;0.068;36830
2085;0;0.0075;0.008;0.009;0.024;0.0776;0.068;37493
2086;0;0.0075;0.008;0.009;0.024;0.0776;0.068;38168
2087;0;0.0075;0.008;0.009;0.024;0.0776;0.068;38855
2088;0;0.0075;0.008;0.009;0.024;0.0776;0.068;39554
2089;0;0.0075;0.008;0.009;0.024;0.0776;0.068;40266
2090;0;0.0075;0.008;0.009;0.024;0.0776;0.068;40991
2091;0;0.0075;0.008;0.009;0.024;0.0776;0.068;41728
2092;0;0.0075;0.008;0.009;0.024;0.0776;0.068;42480
2093;0;0.0075;0.008;0.009;0.024;0.0776;0.068;43244
2094;0;0.0075;0.008;0.009;0.024;0.0776;0.068;44023
2095;0;0.0075;0.008;0.009;0.024;0.0776;0.068;44815
2096;0;0.0075;0.008;0.009;0.024;0.0776;0.068;45622
2097;0;0.0075;0.008;0.009;0.024;0.0776;0.068;46443
2098;0;0.0075;0.008;0.009;0.024;0.0776;0.068;47279
2099;0;0.0075;0.008;0.009;0.024;0.0776;0.068;48130
2100;0;0.0075;0.008;0.009;0.024;0.0776;0.068;48996
