;BMAF ;Plafond ressources CF APJE (1 enfant);Plafond ressources CF APJE (2 enfants);Plafond ressources CF APJE (3 enfants);Plafond ressources CF APJE (4 enfants);Plafond ressources CF APJE (enfant suppl);Majoration plafond ressources CF et APJE;Plafond ressources ARS (1 enfant);Plafond ressources ARS (2 enfants);Plafond ressources ARS (3 enfants);Plafond ressources ARS (4 enfants);Plafond ressources ARS (enfant suppl)
2064;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2065;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2066;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2067;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2068;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2069;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2070;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2071;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2072;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2073;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2074;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2075;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2076;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2077;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2078;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2079;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2080;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2081;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2082;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2083;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2084;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2085;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2086;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2087;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2088;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2089;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2090;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2091;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2092;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2093;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2094;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2095;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2096;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2097;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2098;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2099;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2100;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
